chapter,section,cluster,cluster_name,count,section_total,proportion
Part 6: Academic Procedures and Information,Religious Holidays,7,"Degrees, transfer and services",1,2,0.5
Part 6: Academic Procedures and Information,Submission of Term Paper,5,Credits and placement,1,1,1.0
Part 6: Academic Procedures and Information,The Provision of Academic Information to Parents and Guardians,2,Academic status and procedures,1,1,1.0
Part 6: Academic Procedures and Information,Time Limit for Completing Undergraduate Degree,7,"Degrees, transfer and services",1,1,1.0
Part 6: Academic Procedures and Information,Transfer of Work Taken Elsewhere,7,"Degrees, transfer and services",7,7,1.0
Part 6: Academic Procedures and Information,Two-Credit Writing Courses,5,Credits and placement,1,1,1.0
Part 6: Academic Procedures and Information,Undergraduate Course Load,2,Academic status and procedures,10,16,0.625
Part 6: Academic Procedures and Information,Undergraduate Course Load,5,Credits and placement,5,16,0.3125
Part 6: Academic Procedures and Information,Undergraduate Course Load,7,"Degrees, transfer and services",1,16,0.0625
Part 7: Academic Advising and Support,Academic Advising,4,Interdisciplinary learning,4,5,0.8
Part 7: Academic Advising and Support,Academic Advising,7,"Degrees, transfer and services",1,5,0.2
Part 7: Academic Advising and Support,Academic Advising and Support,4,Interdisciplinary learning,1,1,1.0
Part 7: Academic Advising and Support,Academic Resource Center,4,Interdisciplinary learning,3,3,1.0
Part 7: Academic Advising and Support,Seven Principles of Duke Kunshan University Academic Advising,4,Interdisciplinary learning,2,2,1.0
"Part 8: Career Services, Study Away, and Research Opportunities",Career Services,4,Interdisciplinary learning,2,6,0.3333
"Part 8: Career Services, Study Away, and Research Opportunities",Career Services,7,"Degrees, transfer and services",4,6,0.6667
"Part 8: Career Services, Study Away, and Research Opportunities",Office of Global Education and Study Away,2,Academic status and procedures,3,18,0.1667
"Part 8: Career Services, Study Away, and Research Opportunities",Office of Global Education and Study Away,5,Credits and placement,2,18,0.1111
"Part 8: Career Services, Study Away, and Research Opportunities",Office of Global Education and Study Away,7,"Degrees, transfer and services",13,18,0.7222
"Part 8: Career Services, Study Away, and Research Opportunities",Student Research Opportunities,7,"Degrees, transfer and services",2,2,1.0
Part 9: Student Affairs and Campus Life,Accommodations,4,Interdisciplinary learning,1,3,0.3333
Part 9: Student Affairs and Campus Life,Accommodations,5,Credits and placement,2,3,0.6667
Part 9: Student Affairs and Campus Life,Arts and Culture,7,"Degrees, transfer and services",1,1,1.0
Part 9: Student Affairs and Campus Life,Athletics & University Sports,4,Interdisciplinary learning,3,6,0.5
Part 9: Student Affairs and Campus Life,Athletics & University Sports,7,"Degrees, transfer and services",2,6,0.3333
Part 9: Student Affairs and Campus Life,Athletics & University Sports,9,Quantitative and technical study,1,6,0.1667
Part 9: Student Affairs and Campus Life,Blue Oasis Student Center,4,Interdisciplinary learning,1,1,1.0
Part 9: Student Affairs and Campus Life,Campus Engagement,4,Interdisciplinary learning,1,1,1.0
Part 9: Student Affairs and Campus Life,Campus Health Clinic,4,Interdisciplinary learning,2,2,1.0
Part 9: Student Affairs and Campus Life,Campus Programs,4,Interdisciplinary learning,1,3,0.3333
Part 9: Student Affairs and Campus Life,Campus Programs,7,"Degrees, transfer and services",2,3,0.6667
Part 9: Student Affairs and Campus Life,Chinese Student Services and Student Mobility,6,China and language studies,1,2,0.5
